,Animation Length,Torso Verticality Mean,Torso Verticality Std.,Instability,Root Energy,Hand Energy,Foot Energy,Head Energy
09_03,128,0.9729547245000001,0.007120441000000001,5.1151429865,0.2677963479,0.2677963479,0.7887545886,0.0412609891
09_04,137,0.9608107464000001,0.0090717383,4.4161229052,0.3157437436,0.3157437436,0.8253537574,0.0392787734
09_05,143,0.9544352197,0.0109072483,5.5038917155,0.32634014850000004,0.32634014850000004,0.8094247261,0.041393181800000005
09_06,141,0.9649952532,0.0094756695,4.2284889813,0.3171030116,0.3171030116,0.814607288,0.051042047
09_07,138,0.9603691018,0.0082304028,5.0116762033,0.3173570432,0.3173570432,0.7875025918,0.04511982
09_08,128,0.9645253191000001,0.008028831200000001,5.848515077,0.28406092520000004,0.28406092520000004,0.7882512751,0.0430495285
09_09,152,0.9558323629000001,0.0073796454,7.5989460387,0.3026112885,0.3026112885,0.8300696506,0.0455780488
09_10,132,0.9583739706000001,0.0097424246,131.1086295766,0.4990489349,0.4990489349,0.9357544094,0.0553796208
09_11,165,0.9629188569,0.0117070912,6.5413553117,0.3390170059,0.3390170059,0.8114405626000001,0.0435816035
09_12,1918,0.9898937117000001,0.006448854800000001,4.1066846503,0.1870423002,0.1870423002,0.3315851744,0.0318818117
10_01,801,0.9867071232000001,0.021306364,2.8402018815,0.2271552252,0.2271552252,0.1604004117,0.0258593519
10_02,590,0.9739516166000001,0.0272126125,3.5717935597,0.25048441390000004,0.25048441390000004,0.2207221415,0.0368013503
10_03,362,0.9569880908,0.054628318,4.6512625143,0.33826177080000003,0.33826177080000003,0.4002504066,0.0433363955
10_04,549,0.9938684115,0.0033267863,3.3587724688,0.0847391134,0.0847391134,0.30241463090000004,0.016679467700000002
10_05,436,0.9634946801000001,0.0491964497,4.3656067132,0.26514385560000003,0.26514385560000003,0.3542648537,0.0417159565
10_06,572,0.9583021954000001,0.043680488600000004,4.6611925381,0.273461189,0.273461189,0.3306425016,0.042149473300000004
102_01,277,0.8747123676,0.0948110033,4.1842637393,0.3499696289,0.3499696289,0.5936687951,0.0956145934
102_02,174,0.8108735888,0.09719775100000001,4.2133112496,0.42910689760000004,0.42910689760000004,0.8107523915,0.1116920943
102_03,152,0.7955670765,0.0989649459,4.46293323,0.5037440543,0.5037440543,0.6853444940000001,0.14704663240000002
102_04,167,0.8085688845000001,0.0753263495,3.9581848584,0.3965776079,0.3965776079,0.648656568,0.1287579359
102_05,109,0.9456242340000001,0.036331573400000004,5.2944976092000005,0.5309563899,0.5309563899,1.0614486973,0.0831527695
102_06,141,0.9397661191000001,0.0191601868,5.5085196718,0.4591815253,0.4591815253,0.9978176077,0.0946563451
102_07,112,0.9210991248,0.052867409600000005,5.9828713268,0.5151226263,0.5151226263,0.9932350854,0.0741377813
102_08,140,0.9520764572,0.029796875900000002,4.8448319621,0.3590099252,0.3590099252,0.8753468172000001,0.0723238798
102_09,46,0.9672691563,0.00040328200000000003,0.5639935380000001,0.014438726800000001,0.014438726800000001,0.0126711666,0.0036235658000000003
102_10,97,0.9458927612,0.0287176858,3.3239454016,0.5356955741,0.5356955741,1.0236874816,0.0677191781
102_11,174,0.7458098510000001,0.1134231224,4.4243689315,0.5922077215,0.5922077215,0.6599290539,0.1934948772
102_12,171,0.8762197227,0.0443850655,5.3062138917,0.6701407869,0.6701407869,0.7649328479,0.1601505957
102_13,152,0.7596256892000001,0.1152164886,3.7220216888,0.583635513,0.583635513,0.9343246685000001,0.155839882
102_14,196,0.8373308607000001,0.11291394540000001,4.0479988318,0.492669238,0.492669238,0.7918044232,0.1249321854
102_15,179,0.8233570511,0.0479057876,4.3304442509,0.7010998914000001,0.7010998914000001,0.8107849810000001,0.16015267290000001
102_16,213,0.7543731136,0.1493330048,3.5385113447,0.5144542125,0.5144542125,0.7661759575,0.135497109
102_17,176,0.7183925250000001,0.1207099896,3.5240921334,0.5215666802,0.5215666802,0.815803413,0.1489238393
102_18,230,0.8539537071000001,0.0876206191,4.5347557406,0.551939301,0.551939301,0.6973768817,0.1358355641
102_19,226,0.8177471940000001,0.11163211990000001,3.7936129288,0.4757887985,0.4757887985,0.7055635778,0.121891151
102_20,606,0.8700704324,0.1057904964,3.8572166431,0.3210792222,0.3210792222,0.3322876578,0.07949327760000001
102_21,519,0.8731982558,0.0992175014,2.8329774296,0.2946994794,0.2946994794,0.3445714306,0.0772602104
102_22,246,0.8514824751000001,0.11462692990000001,2.5986995053,0.28610080990000003,0.28610080990000003,0.4448305671,0.0797428609
102_23,356,0.8026626387,0.13078059820000001,2.6020514667,0.25838685640000003,0.25838685640000003,0.39626329590000003,0.0818714811
102_24,326,0.7396901061000001,0.1242812385,3.10680806,0.2349120369,0.2349120369,0.4117301841,0.0850906869
102_25,296,0.7383820160000001,0.1409971734,4.3462682453,0.2255163198,0.2255163198,0.4539089691,0.092414652
102_26,448,0.7268910624,0.0834071872,3.5649429428,0.3091061502,0.3091061502,0.4890350033,0.08585411600000001
102_27,171,0.6321648396,0.0786237245,3.9542655279,0.29227220200000004,0.29227220200000004,0.6189493515000001,0.1042308604
102_28,703,0.6440362205,0.0911690572,4.9827916674,0.2986028196,0.2986028196,0.4452798176,0.0722197658
102_29,798,0.7969701121,0.1868449587,2.7416618884,0.4688020788,0.4688020788,0.3318431597,0.1257163984
102_30,214,0.7522126311,0.1651130106,3.9215459,0.4465095168,0.4465095168,0.7507044486000001,0.12413850600000001
102_31,229,0.7811650511,0.0617264869,3.4387827443,0.5177045673,0.5177045673,0.7967176009,0.1322826775
102_32,305,0.8634977406000001,0.0928422091,0.4885978087,0.39115740520000003,0.39115740520000003,0.5871652515,0.0936261199
102_33,220,0.8216163336000001,0.1427021025,3.4089246667,0.4327551311,0.4327551311,0.5311774330000001,0.12464275130000001
103_01,21,0.9925772124000001,9.456570000000001e-05,0.7457021166000001,0.016831985600000002,0.016831985600000002,0.012624728,0.0034948323000000003
103_02,1492,0.9189896572,0.1565855881,2.2253932655,0.3178209627,0.3178209627,0.2158522861,0.082762481
103_03,442,0.8220111023000001,0.1111007601,2.1124816929,0.7254095060000001,0.7254095060000001,0.40133620400000003,0.0833979494
103_04,506,0.9165537354000001,0.0554875198,2.0692561807,0.2652066832,0.2652066832,0.4329083818,0.06274992530000001
103_05,546,0.8695926376,0.0472163546,2.5437665428000003,0.5272760430000001,0.5272760430000001,0.4997027187,0.0649593082
103_06,402,0.9309050868000001,0.08082209300000001,2.4223369319,0.4914396541,0.4914396541,0.4269584178,0.09866651800000001
103_07,236,0.9921377936,0.0070858239000000005,3.7387769048,0.5817479983,0.5817479983,0.8162745828,0.0431373026
103_08,557,0.9413876981,0.0335375948,3.6469242406999998,0.4461256663,0.4461256663,0.5861941518,0.0671282642
104_01,385,0.9785521492,0.017082065900000002,59.4311198151,0.3036002832,0.3036002832,0.5663299367,0.035971955
104_02,885,0.9971693126000001,0.0032589829,2.6228177004,0.13851338430000001,0.13851338430000001,0.23662014920000002,0.0183157489
104_03,1619,0.9815544047,0.0205884362,1.5315620926,0.08193290140000001,0.08193290140000001,0.1364463957,0.034123523
104_04,198,0.9822480064,0.010790568300000001,6.1152401769,0.3618913411,0.3618913411,0.8687472709,0.052363458800000005
104_05,489,0.9692584337000001,0.032503008300000004,2.5720256287,0.3574394343,0.3574394343,0.4222955125,0.0350585155
104_06,337,0.9493493718,0.0518919531,3.0990192044000002,0.3074468546,0.3074468546,0.5478785657,0.052626180200000004
104_07,2304,0.9849145343000001,0.0138211475,1.870372147,0.06577568930000001,0.06577568930000001,0.0579511891,0.0228569672
104_08,314,0.9435737084,0.0522143274,1.9270317202,0.2807011722,0.2807011722,0.4745070684,0.0466273187
104_09,349,0.9932413843000001,0.0097468602,4.1126838209,0.276139466,0.276139466,0.49570873340000005,0.038149989700000005
104_10,334,0.993387785,0.0096557794,5.2809542211,0.2794875839,0.2794875839,0.5092190926,0.0389151259
104_11,539,0.9055047798,0.046936406800000004,1.949877961,0.5070364404000001,0.5070364404000001,0.4777685708,0.06500249550000001
104_12,421,0.8228832315,0.1331619946,2.4751221534,0.8631805524,0.8631805524,0.6831644369000001,0.1530230015
104_13,550,0.7212062316000001,0.192050785,2.5313841329,0.6915549075,0.6915549075,0.6086452184000001,0.10797210510000001
104_14,709,0.8767164442000001,0.1154631021,2.8925699964,0.4932422769,0.4932422769,0.3667635245,0.0724323719
104_15,208,0.9987506751,0.0002032675,0.31030595380000003,0.0124313927,0.0124313927,0.0103396361,0.0031569718
104_16,327,0.7943925395,0.10953740690000001,3.0281477793,0.8569871008000001,0.8569871008000001,0.8006882347000001,0.12957555340000002
104_17,465,0.8592308476,0.19281172400000002,3.6294433278,0.5812307142,0.5812307142,0.6213373044,0.10858253820000001
104_18,670,0.8938128462,0.16808963840000002,36.0415069565,0.5427043221,0.5427043221,0.4960916838,0.099499216
104_19,921,0.9964148313000001,0.004204918,2.1284926336,0.1255999202,0.1255999202,0.22890427600000002,0.0167027145
104_20,701,0.9945084114,0.0059565699,2.6595076708,0.1938953537,0.1938953537,0.2952738237,0.0201485229
104_21,789,0.9961102833000001,0.0051430444,22.6992872331,0.19346494150000001,0.19346494150000001,0.272870373,0.0166748454
104_22,1838,0.9935178685,0.0062800379,1.9020153482,0.2132367577,0.2132367577,0.3115783527,0.0218234643
104_23,1834,0.9935805345000001,0.006867372300000001,2.1221929176,0.21590467670000002,0.21590467670000002,0.3151491769,0.0211601664
104_24,1896,0.9958312918000001,0.0031896583000000003,2.0514811183,0.19709716570000002,0.19709716570000002,0.31548990920000003,0.0201533554
104_25,2451,0.9944628671,0.0048966925,2.1054016539,0.18904461660000002,0.18904461660000002,0.32050167,0.0220425872
104_26,1100,0.8713479923,0.1589826281,0.7013579072,0.1997052053,0.1997052053,0.1780908326,0.0587062296
104_27,2434,0.994738815,0.0049087283,1.9165663593,0.16678305070000002,0.16678305070000002,0.2970061712,0.022323472
104_28,566,0.9777020917,0.0310138925,3.0710272926,0.2678615674,0.2678615674,0.33794911450000004,0.0362250941
104_29,480,0.9712252714,0.037353550900000004,3.0796946413,0.3564026511,0.3564026511,0.3989041687,0.040945472000000004
104_30,1365,0.9751378996000001,0.0224829861,1.8504924091000001,0.3333854349,0.3333854349,0.3991113864,0.0360012564
104_31,1287,0.9703115462,0.0240055376,2.422408212,0.3784117751,0.3784117751,0.43525670110000003,0.0377080652
104_32,1565,0.9656431312,0.0248516358,2.1482994792,0.3719851572,0.3719851572,0.43603963500000004,0.0422645528
104_33,1486,0.9617126093,0.031589877100000004,2.5242482409,0.39485147870000004,0.39485147870000004,0.4519294264,0.044234169100000005
104_34,1115,0.9978161153,0.002106255,2.1117234538,0.1060884716,0.1060884716,0.1902073265,0.015410871900000001
104_35,1074,0.9975959131000001,0.0024857825,1.7259707303,0.0977048512,0.0977048512,0.1907120233,0.014869791600000001
104_36,2315,0.9964741676000001,0.0030653739,1.930969991,0.1780673966,0.1780673966,0.2719516831,0.0232126513
104_37,150,0.9676991106,0.028871356,3.2889319784,0.5335556562,0.5335556562,1.0283959282,0.057539973
104_38,2669,0.9975492349,0.0027740781,8.4566596838,0.1572578794,0.1572578794,0.244787722,0.020572362400000002
104_39,3214,0.9982006779,0.0018204587,2.0064346159,0.14821960450000002,0.14821960450000002,0.23733833170000002,0.0194454054
104_40,3036,0.9982577751,0.0016122556000000001,2.1827381095,0.1538323564,0.1538323564,0.2494620328,0.0196184335
104_41,1558,0.985899143,0.0197910683,1.4978253588000001,0.0741727994,0.0741727994,0.1465122767,0.0278003964
104_42,2613,0.9768470169000001,0.021962703,1.270156239,0.1452966691,0.1452966691,0.2222902887,0.0465104708
104_43,3377,0.9801954138000001,0.0189697968,1.2864780355,0.1434491511,0.1434491511,0.2085775189,0.0487333442
104_44,1087,0.9893008510000001,0.006369315,2.1719642294,0.06743312900000001,0.06743312900000001,0.1985278224,0.0262224073
104_45,2207,0.9854985752000001,0.0076026708,1.8905971993000001,0.1275865152,0.1275865152,0.2755750621,0.036140876700000005
104_46,2783,0.9814787439,0.0116610715,2.4215186906,0.1439444241,0.1439444241,0.2838210846,0.0385487942
104_47,1694,0.9735781108,0.0346117522,1.9327788069,0.20285227460000002,0.20285227460000002,0.1657224794,0.0411478506
104_48,120,0.9603386180000001,0.037479763,4.2448670769,0.5757251862,0.5757251862,1.1002529475,0.0635202405
104_49,2726,0.9694730124000001,0.0377702632,2.2171172778,0.2337898063,0.2337898063,0.24732015880000002,0.0481995124
104_50,3205,0.9418899218000001,0.0901562709,2.111378584,0.2647673243,0.2647673243,0.24418593190000001,0.0552253953
104_51,1382,0.9434756934,0.0498442094,2.0495969972,0.2074390223,0.2074390223,0.1614822254,0.0497259721
104_52,2708,0.9308359451,0.0524045853,3.1246854554,0.2731849944,0.2731849944,0.2356134953,0.061496946000000004
104_53,299,0.9070928456,0.08865087420000001,2.0000675569,0.3903027348,0.3903027348,0.5450950367,0.0492307098
104_54,249,0.8457780152000001,0.12780221290000002,2.7183419523,0.458718671,0.458718671,0.5748636124000001,0.0690767188
104_55,504,0.9332401389,0.0888320844,2.6006812387,0.28213428160000004,0.28213428160000004,0.3685586494,0.0386330324
104_56,368,0.9949310558000001,0.0113750785,3.8958051477,0.3340904028,0.3340904028,0.43979289380000003,0.0368981152
104_57,384,0.9929394514000001,0.0119969718,3.9479359877,0.30788367380000004,0.30788367380000004,0.4289568187,0.032928014400000004
105_01,2737,0.9924437444,0.0070775077,2.3018972155,0.1151467615,0.1151467615,0.2511530047,0.0190976635
105_02,1748,0.9948592562,0.0069540675,1.8588082846,0.1709776495,0.1709776495,0.22686875380000002,0.0187114924
105_03,1865,0.9936210309000001,0.0069731085,2.4832305079,0.22473887650000002,0.22473887650000002,0.28609336760000004,0.021570067000000002
105_04,2162,0.9903686656,0.0104574173,2.3210527468,0.2208098255,0.2208098255,0.2965217049,0.025397014500000002
105_05,2700,0.9896200110000001,0.008991942900000001,1.2278367839,0.11383953890000001,0.11383953890000001,0.152550094,0.0269802
105_06,136,0.9899825181,0.0005567081,0.4507173051,0.009752542500000001,0.009752542500000001,0.0060453652000000005,0.0024233780000000003
105_07,2582,0.9867185085000001,0.0084648333,1.6781875473999999,0.1307332668,0.1307332668,0.2086656067,0.0314855433
105_08,3972,0.9899910562,0.0106535602,1.4611135722,0.137847878,0.137847878,0.17781457820000002,0.0326925488
105_09,5402,0.9585579667,0.045786156200000004,1.7283943692000001,0.1234250025,0.1234250025,0.1123304983,0.0233290048
105_10,3175,0.9985901420000001,0.0012427104,1.9076768976,0.0749746999,0.0749746999,0.1377850659,0.013830727400000001
105_11,1863,0.9740274749000001,0.0161881652,2.1286150746,0.1902577068,0.1902577068,0.2069499851,0.0224471597
105_12,2222,0.9786167759000001,0.0172679958,2.2644387048,0.20915355670000002,0.20915355670000002,0.1840297896,0.0234254641
105_13,2960,0.9908753592,0.0079819402,1.7723547304,0.0609579481,0.0609579481,0.13854031490000002,0.0162564996
105_14,2769,0.9840894107,0.014479655800000001,1.8672774749,0.0603100312,0.0603100312,0.14706501460000002,0.013422061300000001
105_15,3090,0.9564371568000001,0.09527731960000001,1.7782068789,0.29329652,0.29329652,0.1755300628,0.0372169713
105_16,1892,0.9892950036,0.0110120761,1.6978369777,0.3157983337,0.3157983337,0.233541404,0.0394879209
105_17,1520,0.9888293422000001,0.0123442411,1.8538557499000001,0.23958560880000002,0.23958560880000002,0.2622693721,0.0225812356
105_18,3363,0.9974398103000001,0.0018880232,1.712876633,0.0563927269,0.0563927269,0.1242099463,0.0118207328
105_19,1885,0.9973156425,0.0036123868000000003,2.3347337246,0.2901017054,0.2901017054,0.254421067,0.0179078127
105_20,2774,0.9962006968,0.0027248328000000002,1.9241112653,0.051709490600000005,0.051709490600000005,0.1457244244,0.013904146000000001
105_21,3870,0.9609847868,0.0219630777,1.3804543029,0.046586975600000004,0.046586975600000004,0.1169276541,0.0157666085
105_22,2106,0.9888473173000001,0.0244153225,1.7558291787,0.166325609,0.166325609,0.1908500465,0.0204284204
105_23,2668,0.9868034695000001,0.0112983078,1.6258631949,0.1184559194,0.1184559194,0.1603621637,0.0212628848
105_24,3804,0.9290528050000001,0.063371762,1.6265024969000001,0.078707936,0.078707936,0.124544574,0.0240552037
105_25,3137,0.8858406718,0.0703184455,1.8206414532,0.11867488150000001,0.11867488150000001,0.1338987659,0.0278865168
105_26,2082,0.9741922832000001,0.0131856769,1.6411605151000002,0.05216109,0.05216109,0.18939326880000001,0.0166642905
105_27,2894,0.9972220419000001,0.0034736191000000003,1.846839555,0.0835344803,0.0835344803,0.1511506463,0.0148806218
105_28,3307,0.9887826891,0.0077170943,1.8068415653,0.1425324802,0.1425324802,0.1411844834,0.0274296478
105_29,2181,0.9962764159,0.0050559856,1.8124352416,0.11362580950000001,0.11362580950000001,0.1897091921,0.0190923135
105_30,3139,0.9941985443,0.0055435719000000005,1.5898643587999999,0.0736410792,0.0736410792,0.1354844271,0.015693286100000002
105_31,1992,0.9963249543,0.0053474822,1.7876413785,0.1044357536,0.1044357536,0.19985686800000002,0.0173227243
105_32,3724,0.9943813131,0.0077179687,1.6198711312,0.049942326100000003,0.049942326100000003,0.1173178519,0.0125103915
105_33,2698,0.9726748299,0.0200029085,1.7152445947000001,0.1904495252,0.1904495252,0.1969332721,0.042658265300000005
105_34,2208,0.9975325405000001,0.0028528119,1.6085233374999999,0.11335512810000001,0.11335512810000001,0.1757055015,0.0153432542
105_35,3052,0.9942830354000001,0.0050328954,1.6762241794000001,0.1022719066,0.1022719066,0.1398452651,0.0169481943
